File,Line,Column,Level,Category,Name,Warning,Suggestion,Note,CWEs,Context,Fingerprint
/home/capstone/Desktop/root/libfontenc-1.1.4/src/encparse.c,903,17,4,buffer,fscanf,"The scanf() family's %s operation, without a limit specification, permits buffer overflows (CWE-120, CWE-20)","Specify a limit to %s, or use a different input function","If the scanf format is influenceable by an attacker, it's exploitable.","CWE-120, CWE-20","        count = fscanf(file, format, encoding_name, file_name);",0c98804ad75409266d6b36b420c3d02a3e23efa21cbc263894d21015f9e76dcc
/home/capstone/Desktop/root/libfontenc-1.1.4/src/encparse.c,836,25,3,buffer,getenv,"Environment variables are untrustable input if they can be set by an attacker.  They can have any content and length, and the same variable can be set more than once (CWE-807, CWE-20)",Check environment variables carefully before using them,,"CWE-807, CWE-20","        const char *c = getenv(""FONT_ENCODINGS_DIRECTORY"");",e5209d89b86b8607f68574b0663ff8f595fea71096f84aad29c029e3196f1f08
/home/capstone/Desktop/root/libfontenc-1.1.4/src/encparse.c,74,8,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120)","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length",,CWE-119!/CWE-120,static char keyword_value[MAXKEYWORDLEN + 1];,b3d6a7be8c884fd69d80bae7f601cb05027f99d89b4713f3d3b8a2f464bb2cc9
/home/capstone/Desktop/root/libfontenc-1.1.4/src/encparse.c,508,5,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120)","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length",,CWE-119!/CWE-120,    char *aliases[MAXALIASES] = { NULL };,877531b58bad1cec2ee2023a8fd7efb78b5e91b67fb5592b854f15a8b5b2a3a5
/home/capstone/Desktop/root/libfontenc-1.1.4/src/encparse.c,879,5,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120)","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length",,CWE-119!/CWE-120,"    char file_name[MAXFONTFILENAMELEN], encoding_name[MAXFONTNAMELEN],",98a2f4702237e934bb6d8f8a3093789b2f2dd84c66940308c349a2e8396cf43a
/home/capstone/Desktop/root/libfontenc-1.1.4/src/encparse.c,882,12,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120)","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length",,CWE-119!/CWE-120,"    static char format[24] = """";",1d87c437bc40a29a44380ac5f307c3fbfb96b7d95b0d3a6953ca9810d582b246
/home/capstone/Desktop/root/libfontenc-1.1.4/src/encparse.c,887,17,2,misc,fopen,"Check when opening files - can an attacker redirect it (via symlinks), force the opening of special file type (e.g., device files), move things around to create a race condition, control its ancestors, or change its contents? (CWE-362)",,,CWE-362,"    if ((file = fopen(dirname, ""r"")) == NULL) {",f2e29dd9e42b1e17943a47d1cf263002c420913cede76f907de5462d82b906c6
/home/capstone/Desktop/root/libfontenc-1.1.4/src/encparse.c,943,5,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120)","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length",,CWE-119!/CWE-120,"    char dir[MAXFONTFILENAMELEN], dirname[MAXFONTFILENAMELEN];",755aee770d6521fd37c8c0aefa67cb57bb7991171ad772b1df822b8e2b38b04d
/home/capstone/Desktop/root/libfontenc-1.1.4/src/fontenc.c,581,8,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120)","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length",,CWE-119!/CWE-120,"static char *iso8859_15_aliases[2] = { ""fcd8859-15"", NULL };",94925c9f07b37ecdc31d34e8c06362be437baeced2e2415a2f5df05ff7ec4ffb
/home/capstone/Desktop/root/libfontenc-1.1.4/src/fontenc.c,637,12,2,buffer,char,"Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120)","Perform bounds checking, use functions that limit length, or ensure that the size is larger than the maximum possible length",,CWE-119!/CWE-120,    static char charset[MAXFONTNAMELEN];,64d0e39b847b5f8767372eef7a03ee624f8aeaffea90d6e1909ace588c8fd1de
