File,Line,Column,Level,Category,Name,Warning,Suggestion,Note,CWEs,Context,Fingerprint
/home/capstone/Desktop/root/apparmor-2.13.3_pure/tests/regression/apparmor/chgrp.c,34,6,5,race,chown,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362)",Use fchown( ) instead,,CWE-362,"	if (chown(argv[1], -1, gid) == -1) {",1b25b8ccd124172b71f868caf0982c13995cbd6d0fac332ccfea57f14755987f
/home/capstone/Desktop/root/apparmor-2.13.3_pure/tests/regression/apparmor/chmod.c,33,6,5,race,chmod,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362)",Use fchmod( ) instead,,CWE-362,"	if (chmod(argv[1], mode) == -1) {",38490a45ac32832ced3b767066ce9d3351267ef2bbe9f61f6df32b2e76acb82e
/home/capstone/Desktop/root/apparmor-2.13.3_pure/tests/regression/apparmor/chown.c,33,6,5,race,chown,"This accepts filename arguments; if an attacker can move those files, a race condition results. (CWE-362)",Use fchown( ) instead,,CWE-362,"	if (chown(argv[1], uid, -1) == -1) {",e79035727e15a250a7165d7933f95de84655a526fb39bcfd2352eae1bfe283b3
/home/capstone/Desktop/root/apparmor-2.13.3_pure/binutils/aa_exec.c,69,2,4,format,vfprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,"	vfprintf(stderr, fmt, args);",6c25caac18e46a84a9dc5a0b738a92c77aaf3a185ee35d002035c3bd178c9cb5
/home/capstone/Desktop/root/apparmor-2.13.3_pure/binutils/aa_exec.c,83,2,4,format,vfprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,"	vfprintf(stderr, fmt, args);",6c25caac18e46a84a9dc5a0b738a92c77aaf3a185ee35d002035c3bd178c9cb5
/home/capstone/Desktop/root/apparmor-2.13.3_pure/binutils/aa_exec.c,96,2,4,format,vfprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,"	vfprintf(stderr, fmt, args);",6c25caac18e46a84a9dc5a0b738a92c77aaf3a185ee35d002035c3bd178c9cb5
/home/capstone/Desktop/root/apparmor-2.13.3_pure/binutils/aa_exec.c,173,3,4,buffer,strcat,Does not check for buffer overflows when concatenating to destination [MS-banned] (CWE-120),"Consider using strcat_s, strncat, strlcat, or snprintf (warning: strncat is easily misused)",,CWE-120,"		strcat(name, namespace);",3e14b2237647a5b4174d749fa7d7c5bf35fae4cdfad45c5aa00fd3fc35e3cd82
/home/capstone/Desktop/root/apparmor-2.13.3_pure/binutils/aa_exec.c,178,3,4,buffer,strcat,Does not check for buffer overflows when concatenating to destination [MS-banned] (CWE-120),"Consider using strcat_s, strncat, strlcat, or snprintf (warning: strncat is easily misused)",,CWE-120,"		strcat(name, profile);",ac1f94cf3f776cd3a36357fb85e28f29a0a177d87714be07dd9cc0289c07cf8f
/home/capstone/Desktop/root/apparmor-2.13.3_pure/binutils/aa_exec.c,216,2,4,shell,execvp,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,"	execvp(argv[0], argv);",053dce70818b4a03dc9995a47be7b455711839ef6c997cb41e78530f74d0c97e
/home/capstone/Desktop/root/apparmor-2.13.3_pure/libraries/libapparmor/src/features.c,84,6,4,format,vsnprintf,"If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134)",Use a constant for the format specification,,CWE-134,"	i = vsnprintf(fst->pos, remaining, fmt, args);",61cf6fe498dac88bcd75d5d4f2a61e1fd72241b5e535ce13793ea2e02db7df10
/home/capstone/Desktop/root/apparmor-2.13.3_pure/libraries/libapparmor/src/features.c,225,6,4,format,snprintf,"If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134)",Use a constant for the format specification,,CWE-134,"	if (snprintf(features->hash, HASH_SIZE,",91f80d9c7a6dcb0cd3b2066a5d352ed1703b5abce1e8d51e5630babca80fc530
/home/capstone/Desktop/root/apparmor-2.13.3_pure/libraries/libapparmor/src/kernel.c,546,2,4,buffer,sprintf,Does not check for buffer overflows (CWE-120),"Use sprintf_s, snprintf, or vsnprintf",,CWE-120,"	sprintf(buf, ""%s %016lx^"", cmd, token);",79b1929768ba6fbfa6cb3bd364b3a2eca7e7249d58f0dd415541a6248aa81130
/home/capstone/Desktop/root/apparmor-2.13.3_pure/libraries/libapparmor/src/kernel.c,550,4,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"			strcpy(pos, *hats);",2a3b750d9236d46bf2b27a9108fb70eb74435e972f00926129a6d92bca1675c3
/home/capstone/Desktop/root/apparmor-2.13.3_pure/libraries/libapparmor/src/private.c,113,2,4,format,vfprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,"	vfprintf(stderr, fmt, args);",6c25caac18e46a84a9dc5a0b738a92c77aaf3a185ee35d002035c3bd178c9cb5
/home/capstone/Desktop/root/apparmor-2.13.3_pure/parser/parser.h,177,2,4,format,fprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,"	fprintf(stderr, ""parser: "" fmt, ## args);	\",6725c9a8964d8168f6dd37f825f1db764b101d303e35cda79c4d70ec694d96b8
/home/capstone/Desktop/root/apparmor-2.13.3_pure/parser/parser.h,188,2,4,format,fprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,"	fprintf(stderr, fmt, ## args);		\",657decd509cec6a1a7b33292fb96832dfbfc7984071fd39d44af07b07ec4b02b
/home/capstone/Desktop/root/apparmor-2.13.3_pure/parser/parser_alias.c,104,2,4,buffer,sprintf,Does not check for buffer overflows (CWE-120),"Use sprintf_s, snprintf, or vsnprintf",,CWE-120,"	sprintf(n, ""%s%s"", alias->to, target + strlen(alias->from));",13547b62891fdb04e9d002d59c2ff9784371632a75cf53b4afa7e5fc447bfa64
/home/capstone/Desktop/root/apparmor-2.13.3_pure/parser/parser_common.c,116,9,4,format,vfprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,"        vfprintf(stderr, newfmt, arg);",6ca9cff2e92a0955fb0c62bb45345755cfa04ce5f54ede4ce2b3c310c454b06a
/home/capstone/Desktop/root/apparmor-2.13.3_pure/parser/parser_interface.c,384,3,4,buffer,sprintf,Does not check for buffer overflows (CWE-120),"Use sprintf_s, snprintf, or vsnprintf",,CWE-120,"		sprintf(name, ""%s//%s"", profile->parent->name, profile->name);",965fd62ea5f15f09d289df2c0d52f00f00cb0c36b6acae7618fa27cc2ada0cd0
/home/capstone/Desktop/root/apparmor-2.13.3_pure/parser/parser_main.c,903,7,4,race,access,"This usually indicates a security flaw.  If an attacker can change anything along the path between the call to access() and the file's actual use (e.g., by moving files), the attacker can exploit the race condition (CWE-362/CWE-367!)","Set up the correct permissions (e.g., using setuid()) and try to open the file directly",,CWE-362/CWE-367!,"		if (access(target, R_OK) == 0)",3d64c8e11c2983a487c8287c77d317a64a5df6c50bebf7316d468d37290d1994
/home/capstone/Desktop/root/apparmor-2.13.3_pure/parser/parser_misc.c,47,30,4,format,fprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,"#define PDEBUG(fmt, args...) fprintf(stderr, ""Lexer: "" fmt, ## args)",21e8cc39cb026ac5edb400105465a0d7bf10932a8fc649c8e6c3195f321c98a0
/home/capstone/Desktop/root/apparmor-2.13.3_pure/parser/parser_misc.c,692,4,4,format,fprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,"			fprintf(stderr, err, label);",e5b5ea399ad856342b330223d176a036778320fcc2c60c90aa5f995de3dd4b7c
/home/capstone/Desktop/root/apparmor-2.13.3_pure/parser/parser_policy.c,39,30,4,format,fprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,"#define PDEBUG(fmt, args...) fprintf(stderr, ""Lexer: "" fmt, ## args)",21e8cc39cb026ac5edb400105465a0d7bf10932a8fc649c8e6c3195f321c98a0
/home/capstone/Desktop/root/apparmor-2.13.3_pure/parser/parser_policy.c,119,4,4,buffer,sprintf,Does not check for buffer overflows (CWE-120),"Use sprintf_s, snprintf, or vsnprintf",,CWE-120,"			sprintf(name, ""%s//%s"", prof->name, entry->nt_name);",4a31e00d0908b9acee968887c8bd0d1ac2cd139557e095c1dd23d8010ab319e4
/home/capstone/Desktop/root/apparmor-2.13.3_pure/parser/unit_test.h,41,9,4,format,vsnprintf,"If format strings can be influenced by an attacker, they can be exploited, and note that sprintf variations do not always \0-terminate (CWE-134)",Use a constant for the format specification,,CWE-134,"        vsnprintf(buf, sizeof(buf), msg, arg);",b33da555b68f3190e497125bd1b52a6f9c04af0bdce664f0da8d2e353723ff8e
/home/capstone/Desktop/root/apparmor-2.13.3_pure/tests/regression/apparmor/access.c,47,5,4,race,access,"This usually indicates a security flaw.  If an attacker can change anything along the path between the call to access() and the file's actual use (e.g., by moving files), the attacker can exploit the race condition (CWE-362/CWE-367!)","Set up the correct permissions (e.g., using setuid()) and try to open the file directly",,CWE-362/CWE-367!,"	rc=access(path, mode);",e38fd0fa0ddbbf55dcb2a646a64126cf2d782a6d70f9f18663c29d7371345f82
/home/capstone/Desktop/root/apparmor-2.13.3_pure/tests/regression/apparmor/changehat_wrapper.c,109,5,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"				strcpy(manual_string, optarg);",ebcacbecd6275c895492503d95f6f794cdac70b69f33c36b0c0fbbb98add0980
/home/capstone/Desktop/root/apparmor-2.13.3_pure/tests/regression/apparmor/changehat_wrapper.c,157,3,4,buffer,sprintf,Does not check for buffer overflows (CWE-120),"Use sprintf_s, snprintf, or vsnprintf",,CWE-120,"		sprintf (pname, ""%s"", argv[optind]);",651eca34404152b6d5e9f307d031bec76d3836b9ada56dc35a165572b2bca55e
/home/capstone/Desktop/root/apparmor-2.13.3_pure/tests/regression/apparmor/changehat_wrapper.c,177,8,4,shell,execv,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,"		exit(execv(pname, &argv[optind]));",6590ada7172dce78f5702daa91afdce8fb6df276d7cac8d3e77fda88460030e6
/home/capstone/Desktop/root/apparmor-2.13.3_pure/tests/regression/apparmor/dropprivs_wrapper.c,65,2,4,buffer,sprintf,Does not check for buffer overflows (CWE-120),"Use sprintf_s, snprintf, or vsnprintf",,CWE-120,"	sprintf (pname, ""./%s"", argv[1]);",55d63b5cfc7ad959b7306d4879b269a9f2dff5dd09c35936defaaa92380b7a3e
/home/capstone/Desktop/root/apparmor-2.13.3_pure/tests/regression/apparmor/dropprivs_wrapper.c,67,7,4,shell,execv,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,"	exit(execv(pname, &argv[1]));",75a6b070596c12df763c269bdbe19225b5dcde03166647b9f1ddd2e80cfeba56
/home/capstone/Desktop/root/apparmor-2.13.3_pure/tests/regression/apparmor/environ.c,72,12,4,shell,execl,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,"		retval = execl(argv[1], argv[1], argv[2], (char *) NULL);",12316889a48f7ecdde5d0673038fce58ad402b70734506e711259ad54d93981e
/home/capstone/Desktop/root/apparmor-2.13.3_pure/tests/regression/apparmor/fd_inheritance.c,55,2,4,shell,execl,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,"	execl(argv[2], argv[2], fd_str, buf, NULL);",1564fe95d4e466d9b69eb7f24c872cfabe25722ef686a4750542519173c56e66
/home/capstone/Desktop/root/apparmor-2.13.3_pure/tests/regression/apparmor/link_subset.c,156,2,4,buffer,sprintf,Does not check for buffer overflows (CWE-120),"Use sprintf_s, snprintf, or vsnprintf",,CWE-120,"	sprintf(buffer, ""%s%s"", name, perms);",491f44854149229847ca4bcb29ff723c1f838391d0256139dacd617b523ed6f5
/home/capstone/Desktop/root/apparmor-2.13.3_pure/tests/regression/apparmor/link_subset.c,219,4,4,buffer,sprintf,Does not check for buffer overflows (CWE-120),"Use sprintf_s, snprintf, or vsnprintf",,CWE-120,"			sprintf(lname, ""%s%s:%s"", argv[2], perms, perms);",9dd1f4a190fa1e1ce3459799ade1d84b89c2952c78a947bdae8db8f4bb945479
/home/capstone/Desktop/root/apparmor-2.13.3_pure/tests/regression/apparmor/link_subset.c,220,4,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"			strcpy(b, lname);",659889931f9e2d5081756e77400738297a075d7c097e2deb6f90c4a1af443e9f
/home/capstone/Desktop/root/apparmor-2.13.3_pure/tests/regression/apparmor/ptrace.c,232,7,4,format,fprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,"				  fprintf(stderr, usage, argv[0]);",636361de6b9002d3896221a34b2ef7dc195aaf63cfe409905dde95cf39f4ec4b
/home/capstone/Desktop/root/apparmor-2.13.3_pure/tests/regression/apparmor/ptrace.c,238,3,4,format,fprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,"		fprintf(stderr, usage, argv[0]);",636361de6b9002d3896221a34b2ef7dc195aaf63cfe409905dde95cf39f4ec4b
/home/capstone/Desktop/root/apparmor-2.13.3_pure/tests/regression/apparmor/query_label.c,240,2,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"	strcpy(to, label);",a887e789119e705b3bf27d7835cfacff959ab0e5d016ee9c633dfbb5aaf36429
/home/capstone/Desktop/root/apparmor-2.13.3_pure/tests/regression/apparmor/readdir.c,39,2,4,format,vprintf,"If format strings can be influenced by an attacker, they can be exploited (CWE-134)",Use a constant for the format specification,,CWE-134,"	vprintf(format, arg);",407ab19265ea7a8cb7c677dc5aa98681cd85624d67f2ee60d6e956fabefeedcd
/home/capstone/Desktop/root/apparmor-2.13.3_pure/tests/regression/apparmor/socketpair.c,140,2,4,shell,execv,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,"	execv(argv[0], argv);",bac81e398220718dfd565f6029e2ef5be7c0062f07b43ca5dccf9ab83eb2b916
/home/capstone/Desktop/root/apparmor-2.13.3_pure/tests/regression/apparmor/transition.c,288,2,4,shell,execv,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,"	execv(prog, argv);",200a9412916f4d98ab29490cd434a1d5fbfabfe12e45c01f53ab35b212a38458
/home/capstone/Desktop/root/apparmor-2.13.3_pure/tests/regression/apparmor/unix_fd_client.c,41,2,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"	strcpy(remote.sun_path, argv[1]);",10a0d8b2a3612ddda2c7b20dcbc94e02ee4f19f58105545be010ec777662c14d
/home/capstone/Desktop/root/apparmor-2.13.3_pure/tests/regression/apparmor/unix_fd_server.c,76,2,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"	strcpy(local.sun_path, argv[2]);",25289e11c7849290259fe3422ddf37a12abb370a85d69a648e8de6aebccaa760
/home/capstone/Desktop/root/apparmor-2.13.3_pure/tests/regression/apparmor/unix_fd_server.c,95,3,4,shell,execlp,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,"		execlp(argv[3], argv[3], argv[2], NULL);",386d984b235ec4e8820f60f17bf3f8bc297eeabecce81ccadec5c5d897426749
/home/capstone/Desktop/root/apparmor-2.13.3_pure/tests/regression/apparmor/unix_socket.c,220,3,4,shell,execl,This causes a new program to execute and is difficult to use safely (CWE-78),try using a library call that implements the same functionality if available,,CWE-78,"		execl(argv[4], argv[4], sun_path, argv[2], fd_number, NULL);",f80bf0cebabb46f19df6e129a0ed1339370504a3919c177e220448e4df6dcb81
/home/capstone/Desktop/root/apparmor-2.13.3_pure/tests/regression/apparmor/unix_socket_client.c,95,3,4,buffer,strcpy,Does not check for buffer overflows when copying to destination [MS-banned] (CWE-120),"Consider using snprintf, strcpy_s, or strlcpy (warning: strncpy easily misused)",,CWE-120,"		strcpy(addr.sun_path + peer_path_len, SUN_PATH_SUFFIX);",fbf7887d5927cf3c278fcd9c2c15c3d7a925a5ec36f720a3230d414afbaca8f1
/home/capstone/Desktop/root/apparmor-2.13.3_pure/binutils/aa_exec.c,123,16,3,buffer,getopt_long,"Some older implementations do not protect against internal buffer overflows (CWE-120, CWE-20)","Check implementation on installation, or limit the size of all string inputs",,"CWE-120, CWE-20","	while ((opt = getopt_long(argc, argv, ""+dhp:n:iv"", long_opts, NULL)) != -1) {",825efe1b8bdfde9141c382dad6eb3d041c4315221229c834d81200deb34d63bf
/home/capstone/Desktop/root/apparmor-2.13.3_pure/parser/parser_main.c,672,14,3,buffer,getopt_long,"Some older implementations do not protect against internal buffer overflows (CWE-120, CWE-20)","Check implementation on installation, or limit the size of all string inputs",,"CWE-120, CWE-20","	while ((c = getopt_long(argc, argv, short_options, long_options, &o)) != -1)",5229a20cd8ae2981a168e345431ac4dc4f4a48c9c6dd7b2bfdcf0e82bc66717c
/home/capstone/Desktop/root/apparmor-2.13.3_pure/parser/parser_main.c,689,14,3,buffer,getopt_long,"Some older implementations do not protect against internal buffer overflows (CWE-120, CWE-20)","Check implementation on installation, or limit the size of all string inputs",,"CWE-120, CWE-20","	while ((c = getopt_long(argc, argv, short_options, long_options, &o)) != -1)",5229a20cd8ae2981a168e345431ac4dc4f4a48c9c6dd7b2bfdcf0e82bc66717c
/home/capstone/Desktop/root/apparmor-2.13.3_pure/tests/regression/apparmor/changehat_wrapper.c,95,14,3,buffer,getopt_long,"Some older implementations do not protect against internal buffer overflows (CWE-120, CWE-20)","Check implementation on installation, or limit the size of all string inputs",,"CWE-120, CWE-20","	while ((c = getopt_long (argc, argv, ""+"", long_options, &o)) != -1) {",e2deca61d077eb5ef350ff22b6d45dfcd59cd57a1ae8f7da342acb254bd24e3e
/home/capstone/Desktop/root/apparmor-2.13.3_pure/tests/regression/apparmor/clone.c,68,14,3,buffer,getopt_long,"Some older implementations do not protect against internal buffer overflows (CWE-120, CWE-20)","Check implementation on installation, or limit the size of all string inputs",,"CWE-120, CWE-20","	while ((c = getopt_long (argc, argv, ""+hn"", long_options, NULL)) != -1) {",e80e47b2f1122d6d2342dfc4f602db89963a1298cc84c69a295f6c50c852d2d3
